# Angle(degrees)	Lock-in Reading
7.000000000000000000e+02	-5.364449999999999944e-06
7.050000000000000000e+02	-4.351170000000000389e-06
7.100000000000000000e+02	-5.245239999999999606e-06
7.150000000000000000e+02	-6.496939999999999836e-06
7.200000000000000000e+02	-7.689059999999999528e-06
7.250000000000000000e+02	-1.275550000000000010e-05
7.300000000000000000e+02	-6.020100000000000180e-06
7.350000000000000000e+02	-5.781680000000000352e-06
7.400000000000000000e+02	-5.006819999999999778e-06
7.450000000000000000e+02	-1.209980000000000060e-05
7.500000000000000000e+02	-9.596410000000000842e-06
7.550000000000000000e+02	-9.477199999999999657e-06
7.600000000000000000e+02	-1.227859999999999964e-05
7.650000000000000000e+02	-1.293430000000000083e-05
7.700000000000000000e+02	-9.119569999999999491e-06
7.750000000000000000e+02	-9.417590000000000409e-06
7.800000000000000000e+02	-6.020100000000000180e-06
7.850000000000000000e+02	-8.523520000000000345e-06
7.900000000000000000e+02	-4.947209999999999683e-06
7.950000000000000000e+02	-8.344710000000000612e-06
8.000000000000000000e+02	-1.269579999999999964e-05
8.050000000000000000e+02	-2.402079999999999878e-05
8.100000000000000000e+02	-2.962359999999999874e-05
8.150000000000000000e+02	-3.427290000000000181e-05
8.200000000000000000e+02	-3.832599999999999863e-05
8.250000000000000000e+02	-2.700100000000000118e-05
8.300000000000000000e+02	-3.021970000000000138e-05
8.350000000000000000e+02	-3.093500000000000113e-05
8.400000000000000000e+02	-2.890839999999999922e-05
8.450000000000000000e+02	-2.610699999999999924e-05
8.500000000000000000e+02	-2.348430000000000146e-05
8.550000000000000000e+02	-2.306710000000000146e-05
8.600000000000000000e+02	-1.305349999999999962e-05
8.650000000000000000e+02	-1.257659999999999915e-05
8.700000000000000000e+02	-1.162300000000000036e-05
8.750000000000000000e+02	-4.649189999999999612e-06
8.800000000000000000e+02	-7.033379999999999735e-06
8.850000000000000000e+02	-5.424050000000000186e-06
8.900000000000000000e+02	2.622619999999999803e-06
8.950000000000000000e+02	1.132499999999999957e-06
9.000000000000000000e+02	-6.616140000000000321e-06
9.050000000000000000e+02	-2.002730000000000051e-05
9.100000000000000000e+02	3.337869999999999858e-06
9.150000000000000000e+02	-4.768410000000000014e-07
9.200000000000000000e+02	-1.961000000000000029e-05
9.250000000000000000e+02	-4.291559999999999955e-05
9.300000000000000000e+02	-6.687689999999999661e-05
9.350000000000000000e+02	-1.490120000000000058e-05
9.400000000000000000e+02	-4.750510000000000025e-05
9.450000000000000000e+02	-1.096129999999999956e-04
9.500000000000000000e+02	-1.719009999999999928e-04
9.550000000000000000e+02	-1.633770000000000046e-04
9.600000000000000000e+02	-1.564039999999999886e-04
9.650000000000000000e+02	-1.484760000000000062e-04
9.700000000000000000e+02	-1.771459999999999875e-04
9.750000000000000000e+02	-2.018219999999999932e-04
9.800000000000000000e+02	-2.563019999999999730e-04
9.850000000000000000e+02	-2.250680000000000074e-04
9.900000000000000000e+02	-3.488079999999999848e-04
9.950000000000000000e+02	-6.054679999999999567e-04
1.000000000000000000e+03	-9.878350000000000585e-04
1.005000000000000000e+03	-9.292999999999999828e-04
1.010000000000000000e+03	-1.092199999999999985e-03
1.015000000000000000e+03	-1.092199999999999985e-03
1.020000000000000000e+03	-1.092199999999999985e-03
1.025000000000000000e+03	-1.092199999999999985e-03
1.030000000000000000e+03	-1.092199999999999985e-03
1.035000000000000000e+03	-1.092199999999999985e-03
1.040000000000000000e+03	-1.092199999999999985e-03
1.045000000000000000e+03	-1.092199999999999985e-03
1.050000000000000000e+03	-1.092199999999999985e-03
1.055000000000000000e+03	-1.092199999999999985e-03
1.060000000000000000e+03	-1.092199999999999985e-03
1.065000000000000000e+03	-3.300329999999999757e-04
1.070000000000000000e+03	-3.756300000000000069e-04
1.075000000000000000e+03	-3.359929999999999796e-04
1.080000000000000000e+03	-3.088729999999999818e-04
1.085000000000000000e+03	-2.384200000000000110e-04
1.090000000000000000e+03	-1.603370000000000066e-04
1.095000000000000000e+03	-1.234420000000000016e-04
